contract_id,contract_no,customer_id,customer_name,enterprise_id_kaori,contract_type,description,signed_at,start_at,end_at,value_vnd,currency,payment_terms_days,payment_schedule,status,signed_by_customer,customer_signer_title,signed_by_us,us_signer_title,attachment_uri,renewal_type,note
HD-KH-2026-001,KH-VHRS-2024-005,KH-2026-001,Vinhomes Riverside HCM,f90e0cdb-dc0c-4b91-b86a-92c824aa1103,license_enterprise,"Gói ENT MAX 24 tháng — 4 phòng ban × 10000 customers/tháng",2024-04-10,2024-05-01,2026-04-30,192000000,VND,30,monthly,active,Nguyễn Văn An,CMO,Hoàng Văn Em,COO,s3://kaori-contracts/HD-KH-2026-001.pdf,auto_renew,Anchor contract. Renew tự động 1 năm.
HD-KH-2026-002,KH-VMT-2025-011,KH-2026-002,VinMart Quận 1,f90e0cdb-dc0c-4b91-b86a-92c824aa1103,license_enterprise,"Gói ENT MID 12 tháng — Sales + Marketing + CSKH",2025-09-15,2025-10-01,2026-09-30,60000000,VND,30,quarterly,active,Trần Thị Bình,CIO,Hoàng Văn Em,COO,s3://kaori-contracts/HD-KH-2026-002.pdf,manual,Đang đàm phán upsell sang ENT MAX.
HD-KH-2026-003,KH-VPI-2024-008,KH-2026-003,Vinpearl Phú Quốc,f90e0cdb-dc0c-4b91-b86a-92c824aa1103,license_enterprise,"Gói ENT MID 12 tháng — Booking + CSKH",2024-11-20,2024-12-01,2025-11-30,60000000,VND,30,monthly,active,Phạm Quốc Cường,IT Director,Hoàng Văn Em,COO,s3://kaori-contracts/HD-KH-2026-003.pdf,manual,Renew Q4 2025 — review trước 60 ngày.
HD-KH-2026-004,KH-ABC-2026-001,KH-2026-004,ABC Trading JSC,f90e0cdb-dc0c-4b91-b86a-92c824aa1103,license_pilot,"Pilot 3 tháng — gói ENT BASIC",2026-04-30,2026-05-01,2026-07-31,6000000,VND,30,upfront,draft,,,,,,manual,DRAFT — chờ check tín dụng CIC trước khi sign.
HD-KH-2026-005,KH-VG-MSA-2024-001,KH-2026-005,Vingroup HQ,f90e0cdb-dc0c-4b91-b86a-92c824aa1103,framework_msa,"Hợp đồng khung tập đoàn — phủ toàn bộ subsidiaries 2024-2027",2024-01-15,2024-02-01,2027-01-31,2400000000,VND,45,quarterly,active,Hoàng Văn Em,COO,Đại diện Kaori,CEO,s3://kaori-contracts/HD-KH-2026-005.pdf,manual,MSA — mọi subsidiary contract đính kèm dưới đây.
HD-KH-2026-006,KH-VHTC-2024-003,KH-2026-006,Vinhomes Times City,f90e0cdb-dc0c-4b91-b86a-92c824aa1103,license_enterprise,"Gói ENT MID 12 tháng — Marketing + Sales",2024-09-01,2024-10-01,2025-09-30,60000000,VND,30,monthly,active,Đỗ Thị Phương,Marketing Director,Hoàng Văn Em,COO,s3://kaori-contracts/HD-KH-2026-006.pdf,auto_renew,Renew Q4 2025.
HD-KH-2026-007,KH-BETA-2025-009,KH-2026-007,Beta Logistics JSC,f90e0cdb-dc0c-4b91-b86a-92c824aa1103,license_enterprise,"Gói ENT BASIC + module Logistics Adoption",2025-11-15,2025-12-01,2026-11-30,30000000,VND,120,bi_monthly,active,Vũ Đình Giang,COO,Hoàng Văn Em,COO,s3://kaori-contracts/HD-KH-2026-007.pdf,manual,Credit 120 ngày — vượt policy. Đã có CFO approval đặc biệt.
HD-KH-2026-008,KH-VFAST-2024-002,KH-2026-008,VinFast Showroom Đà Nẵng,f90e0cdb-dc0c-4b91-b86a-92c824aa1103,addon_module,"Add-on Adoption Intel + NOV (lined under MSA-2024-001)",2024-02-25,2024-03-01,2025-02-28,18000000,VND,30,quarterly,expired,Bùi Thị Hương,Showroom Manager,Hoàng Văn Em,COO,s3://kaori-contracts/HD-KH-2026-008.pdf,manual,Hết hạn 2025-02-28. Đang đàm phán renew + thêm module CSKH.
HD-KH-2026-009,KH-XYZ-2026-001,KH-2026-009,XYZ Group,f90e0cdb-dc0c-4b91-b86a-92c824aa1103,license_enterprise,"Gói ENT ROI — 8M + 1.5% revenue saved (cap 20M/tháng)",2026-04-10,2026-05-01,2027-04-30,240000000,VND,45,monthly,under_review,,,,,,manual,Deal lớn nhất tháng. Pending CFO + Legal + CEO sign-off.
HD-KH-2026-010,KH-VCM-2024-002,KH-2026-010,Vincom Mega Mall Hà Đông,f90e0cdb-dc0c-4b91-b86a-92c824aa1103,license_enterprise,"Gói ENT MID 12 tháng",2024-07-15,2024-08-01,2025-07-31,60000000,VND,30,monthly,active,Trương Thị Kim,Operations Director,Hoàng Văn Em,COO,s3://kaori-contracts/HD-KH-2026-010.pdf,auto_renew,Renew 2025-08-01 — gia hạn standard.
HD-KH-2026-011,KH-VHOP-2025-001,KH-2026-011,Vinhomes Ocean Park,f90e0cdb-dc0c-4b91-b86a-92c824aa1103,license_enterprise,"Gói ENT MID 12 tháng",2025-04-15,2025-05-01,2026-04-30,60000000,VND,30,monthly,active,Đặng Văn Long,CMO,Hoàng Văn Em,COO,s3://kaori-contracts/HD-KH-2026-011.pdf,auto_renew,Renew Q2 2026 — standard.
HD-KH-2026-012,KH-XYZSUB-2026-001,KH-2026-012,XYZ Subsidiary Manufacturing,f90e0cdb-dc0c-4b91-b86a-92c824aa1103,license_enterprise,"Gói ENT BASIC 12 tháng",2026-04-30,2026-05-15,2027-05-14,24000000,VND,30,monthly,draft,,,,,,manual,Subsidiary của KH-009 — phải align với deal KH-009 trước khi sign.
HD-KH-2026-013,KH-VPILAND-2024-004,KH-2026-013,Vinpearl Land Nam Hội An,f90e0cdb-dc0c-4b91-b86a-92c824aa1103,license_enterprise,"Gói ENT MID 12 tháng",2024-12-10,2025-01-01,2025-12-31,60000000,VND,30,monthly,active,Trịnh Văn Nam,Park Director,Hoàng Văn Em,COO,s3://kaori-contracts/HD-KH-2026-013.pdf,manual,Renew Q4 2025 — đang đàm phán mở rộng.
HD-KH-2026-014,KH-DELTA-2025-005,KH-2026-014,Delta Finance Co. Ltd,f90e0cdb-dc0c-4b91-b86a-92c824aa1103,custom_solution,"Custom analytics module — không qua price book chuẩn",2025-09-30,2025-10-15,2026-10-14,48000000,VND,30,monthly,active,Lý Thị Oanh,COO,Hoàng Văn Em,COO,s3://kaori-contracts/HD-KH-2026-014.pdf,manual,Custom — sales tự ra giá. Margin lower than standard.
HD-KH-2026-015,KH-VMTDN-2026-001,KH-2026-015,VinMart Đồng Nai,f90e0cdb-dc0c-4b91-b86a-92c824aa1103,license_pilot,"Pilot 3 tháng — gói PILOT 1M/tháng",2026-02-20,2026-03-01,2026-05-31,3000000,VND,30,upfront,active,Cao Văn Phú,Branch Manager,Hoàng Văn Em,COO,s3://kaori-contracts/HD-KH-2026-015.pdf,manual,Pilot — sẽ scale lên ENT BASIC nếu thành công.
